order_id,product,qty,price,order_date,revenue
1,MacBook Pro,1,60000,2026-03-30 02:27:45.880108,60000
2,Logitech Mouse,2,1500,2026-03-29 02:27:45.880135,3000
3,iPhone 14,2,30000,2026-03-14 02:27:45.880141,60000
4,External SSD 1TB,2,3500,2026-04-10 02:27:45.880146,7000
5,Smart TV 55 inch,5,18000,2026-03-25 02:27:45.880150,90000
6,Webcam HD,5,1200,2026-04-09 02:27:45.880158,6000
7,Tablet Stand,3,500,2026-03-17 02:27:45.880162,1500
8,Webcam HD,4,1200,2026-03-16 02:27:45.880165,4800
9,Logitech Mouse,5,1500,2026-03-31 02:27:45.880168,7500
10,Noise Cancelling Headphones,5,7000,2026-03-30 02:27:45.880172,35000
11,iPad Pro,1,35000,2026-03-30 02:27:45.880175,35000
12,Gaming Monitor,2,12000,2026-04-07 02:27:45.880178,24000
13,AirPods 3,3,6000,2026-03-15 02:27:45.880181,18000
14,iPhone 15,2,35000,2026-03-28 02:27:45.880185,70000
15,Wireless Charger,4,900,2026-03-29 02:27:45.880188,3600
16,Power Bank,1,1000,2026-03-18 02:27:45.880192,1000
17,Tablet Stand,3,500,2026-03-21 02:27:45.880195,1500
18,Tablet Stand,3,500,2026-03-13 02:27:45.880198,1500
19,Wireless Charger,5,900,2026-03-23 02:27:45.880202,4500
20,Smart TV 55 inch,4,18000,2026-03-20 02:27:45.880207,72000
21,Apple Watch Series 9,2,15000,2026-03-22 02:27:45.880210,30000
22,Bluetooth Speaker,3,2500,2026-03-26 02:27:45.880213,7500
23,USB-C Hub,1,1200,2026-03-16 02:27:45.880217,1200
24,Dell XPS 13,3,42000,2026-04-05 02:27:45.880220,126000
25,MacBook Pro,1,60000,2026-03-20 02:27:45.880223,60000
26,External SSD 1TB,3,3500,2026-03-23 02:27:45.880229,10500
27,Gaming Monitor,5,12000,2026-04-08 02:27:45.880232,60000
28,External SSD 1TB,3,3500,2026-03-26 02:27:45.880235,10500
29,Tablet Stand,3,500,2026-03-21 02:27:45.880238,1500
30,Bluetooth Speaker,5,2500,2026-03-21 02:27:45.880242,12500
31,USB-C Hub,1,1200,2026-03-24 02:27:45.880245,1200
32,Logitech Mouse,5,1500,2026-03-22 02:27:45.880248,7500
33,MacBook Pro,5,60000,2026-03-18 02:27:45.880251,300000
34,Mechanical Keyboard,4,3000,2026-04-02 02:27:45.880255,12000
35,Bluetooth Speaker,5,2500,2026-03-11 02:27:45.880258,12500
36,AirPods Pro,3,8000,2026-03-23 02:27:45.880261,24000
37,Webcam HD,4,1200,2026-03-24 02:27:45.880264,4800
38,Power Bank,1,1000,2026-03-19 02:27:45.880267,1000
39,iPhone 14,3,30000,2026-04-02 02:27:45.880270,90000
40,Noise Cancelling Headphones,3,7000,2026-04-09 02:27:45.880273,21000
41,AirPods 3,2,6000,2026-03-23 02:27:45.880277,12000
42,Noise Cancelling Headphones,1,7000,2026-04-08 02:27:45.880280,7000
43,External SSD 1TB,4,3500,2026-03-18 02:27:45.880283,14000
44,Smart TV 55 inch,5,18000,2026-03-13 02:27:45.880286,90000
45,Apple Watch Series 9,4,15000,2026-04-04 02:27:45.880291,60000
46,Dell XPS 13,1,42000,2026-03-23 02:27:45.880295,42000
47,Samsung Galaxy S24,1,32000,2026-03-12 02:27:45.880298,32000
48,MacBook Air,5,40000,2026-03-26 02:27:45.880301,200000
49,HP Spectre x360,4,38000,2026-04-01 02:27:45.880304,152000
50,Samsung Galaxy S24,2,32000,2026-03-29 02:27:45.880307,64000
